video,frame,LFHoof_x,LFHoof_y,LFHoof_likelihood,LFAnkle_x,LFAnkle_y,LFAnkle_likelihood,LFKnee_x,LFKnee_y,LFKnee_likelihood,RFHoof_x,RFHoof_y,RFHoof_likelihood,RFAnkle_x,RFAnkle_y,RFAnkle_likelihood,RFKnee_x,RFKnee_y,RFKnee_likelihood,LHHoof_x,LHHoof_y,LHHoof_likelihood,LHAnkle_x,LHAnkle_y,LHAnkle_likelihood,LHKnee_x,LHKnee_y,LHKnee_likelihood,RHHoof_x,RHHoof_y,RHHoof_likelihood,RHAnkle_x,RHAnkle_y,RHAnkle_likelihood,RHKnee_x,RHKnee_y,RHKnee_likelihood,Nose_x,Nose_y,Nose_likelihood,HeadTop_x,HeadTop_y,HeadTop_likelihood,Spine1_x,Spine1_y,Spine1_likelihood,Spine2_x,Spine2_y,Spine2_likelihood,Spine3_x,Spine3_y,Spine3_likelihood
0603113238_rgb,29,378.0,797.7999877929688,1.0,363.5999755859375,765.4000244140625,1.0,367.1999816894531,722.199951171875,1.0,403.1999816894531,790.5999755859375,1.0,414.0,765.4000244140625,1.0,417.5999755859375,725.7999877929688,1.0,57.599998474121094,783.4000244140625,1.0,50.39999771118164,765.4000244140625,1.0,79.19999694824219,697.0,1.0,198.0,801.4000244140625,1.0,180.0,769.0,1.0,154.8000030517578,722.199951171875,1.0,572.3999633789062,668.199951171875,1.0,543.5999755859375,574.5999755859375,1.0,396.0,535.0,1.0,162.0,535.0,1.0,295.1999816894531,531.4000244140625,1.0
0603113238_rgb,30,379.5,800.1199951171875,1.0,360.5249938964844,765.9649658203125,1.0,364.32000732421875,720.425048828125,1.0,425.0400085449219,796.3250122070312,1.0,440.2200012207031,762.1700439453125,1.0,432.6300048828125,716.6300048828125,1.0,185.9550018310547,788.7349853515625,1.0,174.57000732421875,762.1700439453125,1.0,151.8000030517578,705.2449951171875,1.0,53.130001068115234,792.530029296875,1.0,56.92500305175781,758.375,1.0,83.49000549316406,693.8599853515625,1.0,576.8400268554688,667.2950439453125,1.0,546.47998046875,572.4200439453125,1.0,394.67999267578125,530.6749877929688,1.0,166.98001098632812,534.469970703125,1.0,296.010009765625,526.8800048828125,1.0
0603113238_rgb,31,378.4200134277344,796.8499755859375,1.0,367.2900085449219,759.75,1.0,371.0,718.9400024414062,1.0,474.8800048828125,796.8499755859375,1.0,467.4599914550781,759.75,1.0,452.6199951171875,718.9400024414062,1.0,74.19999694824219,782.010009765625,1.0,85.33000183105469,748.6199951171875,1.0,103.8800048828125,696.6799926757812,1.0,200.33999633789062,804.27001953125,1.0,178.0800018310547,767.1700439453125,1.0,163.24000549316406,718.9400024414062,1.0,593.5999755859375,659.5800170898438,1.0,563.9199829101562,570.5400390625,1.0,408.1000061035156,533.4400024414062,1.0,178.0800018310547,533.4400024414062,1.0,311.6400146484375,533.4400024414062,1.0
0603113238_rgb,32,382.7200012207031,790.1199951171875,1.0,364.32000732421875,757.0,1.0,375.3600158691406,716.52001953125,1.0,500.4800109863281,801.1600341796875,1.0,485.760009765625,764.3599853515625,1.0,471.0400085449219,720.2000122070312,1.0,95.68000030517578,775.4000244140625,1.0,121.44000244140625,749.6400146484375,1.0,121.44000244140625,694.4400024414062,1.0,198.72000122070312,801.1600341796875,1.0,180.32000732421875,764.3599853515625,1.0,165.60000610351562,720.2000122070312,1.0,610.8800048828125,657.6400146484375,1.0,574.0800170898438,573.0,1.0,426.8800048828125,532.52001953125,1.0,191.36000061035156,532.52001953125,1.0,323.8399963378906,532.52001953125,1.0
0603113238_rgb,33,382.1999816894531,790.449951171875,1.0,367.5,757.375,1.0,378.5249938964844,716.949951171875,1.0,499.79998779296875,801.4749755859375,1.0,485.1000061035156,768.4000244140625,1.0,470.3999938964844,724.2999877929688,1.0,132.3000030517578,779.4249877929688,1.0,139.64999389648438,742.6749877929688,1.0,132.3000030517578,694.9000244140625,1.0,198.4499969482422,801.4749755859375,1.0,180.0749969482422,768.4000244140625,1.0,172.72499084472656,716.949951171875,1.0,617.3999633789062,658.1500244140625,1.0,580.6499633789062,569.949951171875,1.0,448.3500061035156,540.5499877929688,1.0,198.4499969482422,533.2000122070312,1.0,330.75,525.8499755859375,1.0
0603113238_rgb,34,379.55999755859375,795.0400390625,1.0,372.2799987792969,758.6400146484375,1.0,383.20001220703125,718.5999755859375,1.0,503.32000732421875,802.3200073242188,1.0,485.1200256347656,769.56005859375,1.0,474.20001220703125,729.52001953125,1.0,168.44000244140625,784.1199951171875,1.0,175.72000122070312,747.719970703125,1.0,164.8000030517578,689.47998046875,1.0,197.5600128173828,802.3200073242188,1.0,190.27999877929688,776.8400268554688,1.0,175.72000122070312,722.239990234375,1.0,627.0800170898438,656.719970703125,1.0,587.0400390625,569.3599853515625,1.0,445.08001708984375,540.239990234375,1.0,212.12001037597656,532.9600219726562,1.0,343.1600036621094,525.6799926757812,1.0
0603113238_rgb,35,386.0,790.3599853515625,1.0,375.4700012207031,758.77001953125,1.0,386.0,720.1600341796875,1.0,505.3399963378906,804.4000244140625,1.0,487.7900085449219,772.8099975585938,1.0,477.260009765625,734.2000122070312,1.0,217.52000427246094,776.3200073242188,1.0,210.5,744.72998046875,1.0,199.97000122070312,699.0999755859375,1.0,196.4600067138672,804.4000244140625,1.0,178.91000366210938,772.8099975585938,1.0,168.3800048828125,720.1600341796875,1.0,638.719970703125,656.97998046875,1.0,596.5999755859375,572.739990234375,1.0,466.7300109863281,544.6600341796875,1.0,217.52000427246094,530.6199951171875,1.0,357.9200134277344,530.6199951171875,1.0
0603113238_rgb,36,377.4800109863281,791.6800537109375,1.0,373.9750061035156,760.135009765625,1.0,395.0050048828125,721.5800170898438,1.0,503.6600036621094,805.7000122070312,1.0,489.6400146484375,770.6500244140625,1.0,475.6200256347656,728.5900268554688,1.0,265.32000732421875,781.1650390625,1.0,254.8050079345703,746.114990234375,1.0,230.27000427246094,707.5599975585938,1.0,209.24000549316406,802.1950073242188,1.0,188.2100067138672,770.6500244140625,1.0,181.20001220703125,718.0750122070312,1.0,643.8600463867188,658.489990234375,1.0,608.8099975585938,574.3699951171875,1.0,472.1150207519531,539.3200073242188,1.0,226.76499938964844,532.3099975585938,1.0,366.9649963378906,532.3099975585938,1.0
0603113238_rgb,37,384.9599914550781,789.3599853515625,1.0,381.45001220703125,757.77001953125,1.0,402.510009765625,722.6700439453125,1.0,504.29998779296875,803.4000244140625,1.0,486.75,771.8099975585938,1.0,476.2200012207031,733.2000122070312,1.0,293.70001220703125,782.3399658203125,1.0,279.6600036621094,747.239990234375,1.0,251.5800018310547,705.1199951171875,1.0,202.44000244140625,799.8900146484375,1.0,188.39999389648438,768.2999877929688,1.0,181.3800048828125,712.1400146484375,1.0,651.719970703125,655.97998046875,1.0,613.1099853515625,571.739990234375,1.0,469.20001220703125,536.6400146484375,1.0,234.02999877929688,533.1300048828125,1.0,370.9200134277344,529.6199951171875,1.0
0603113238_rgb,38,390.5199890136719,777.8349609375,1.0,414.9849853515625,753.3699951171875,1.0,439.4499816894531,725.4099731445312,1.0,502.3599853515625,802.2999877929688,1.0,488.3799743652344,770.844970703125,1.0,481.3899841308594,732.4000244140625,1.0,334.5999755859375,788.3199462890625,1.0,317.125,756.864990234375,1.0,278.67999267578125,704.4400024414062,1.0,201.7899932861328,802.2999877929688,1.0,184.31500244140625,770.844970703125,1.0,191.30499267578125,711.4299926757812,1.0,663.1300048828125,662.5,1.0,624.6849975585938,571.6300048828125,1.0,470.9049987792969,536.6799926757812,1.0,243.72999572753906,536.6799926757812,1.0,383.5299987792969,529.6900024414062,1.0
